epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,154.407,1.13482,3.51046,0.98487,0.05065,0.70107,0.40751,0.26704,0.92106,3.55572,0.88391,0.000125,0.000125,0.000125
2,349.73,1.01012,2.29485,0.93767,0.03846,0.69065,0.60037,0.44175,0.93744,3.47273,0.87425,0.000236513,0.000236513,0.000236513
3,502.043,0.97662,1.49638,0.92265,0.03639,0.69698,0.60823,0.44281,0.981,3.32163,0.89479,0.0003208,0.0003208,0.0003208
4,810.633,0.93161,1.15979,0.92634,0.03903,0.75531,0.65589,0.48477,0.96719,3.07162,0.9016,0.000377863,0.000377863,0.000377863
5,970.454,0.89928,0.97541,0.91682,0.03956,0.78559,0.66209,0.48896,0.91908,2.92609,0.8924,0.0004077,0.0004077,0.0004077
6,1111.82,0.85467,0.93528,0.90323,0.03953,0.83759,0.72914,0.54223,0.93878,2.72999,0.91684,0.000410313,0.000410313,0.000410313
7,1242.14,0.84207,0.90087,0.89675,0.95185,0.24993,0.75456,0.55882,0.94932,2.54858,0.93852,0.0003857,0.0003857,0.0003857
8,1376.54,0.82896,0.85159,0.90792,0.89796,0.51539,0.82131,0.6077,0.95843,2.13457,0.92605,0.000333863,0.000333863,0.000333863
9,1512.15,0.7873,0.80829,0.88218,0.87603,0.67655,0.83833,0.61717,0.98008,1.87749,0.93971,0.0002548,0.0002548,0.0002548
10,1645.84,0.79622,0.80292,0.87523,0.87976,0.75346,0.88612,0.67377,0.92368,1.55204,0.91832,0.00013625,0.00013625,0.00013625
